,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
0,Rajajinagar (green line),Nagasandra (green line),"Buddha Jyothi layout,vrushabha marketing mall",Home,"Rajajinagar,1st N block,sardar Patel high school ",Home,10:10:00,Metro ,35,Walk ,10,0.5 to 1 km ,2,Auto Rickshaw ,10,1.5 km to 2 km ,5,For neither access nor egress trips ,,,Metro card ,60,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,> 60 yrs ,Postgraduate,Unemployed,>2 Lakhs,1.0,1,2,0,0,10,-1,1,1,1,5,3,2,1,1,1,5
1,Jalahalli (green line),Lalbagh (green line),Lalbag flower show,Other,"Baglugunte, ishwara temple",Home,10:00:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,2,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,7,7,No ,42,No crowding  - Most ,Female,Yes ,Metro ,Metro ,36-45yrs ,10th,Unemployed,,0.0,0,1,0,0,10,-1,8,1,2,3,1,3,1,0,1,1
2,Krishna Rajendra Market (green line),Nagasandra (green line),"Manjunath nagar , government school , bagalguntte",Friend,"Maruthi nagar, madivala,forum mall near",Home,09:40:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,10,Walk ,5,< 0.5 km ,,For both access and egress trips ,5,1,No ,62,No crowding  - Most ,Male,,,Bus and Metro ,36-45 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,7,1,2,3,1,1,3,1,1,1
3,Rajarajeshwari Nagar (purple line),Mahatma Gandhi Road (purple line),"Mg,road,chruch street",Shopping,"Rr nagar,gopalan mall",Home,10:15:00,Metro ,25,Walk ,5,< 0.5 km ,2,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,,1.0,1,0,0,0,10,-1,4,1,1,1,1,1,1,0,1,1
4,Rashtreeya Vidyalaya Road (green line),Trinity (purple line),Trinity commercial street,Shopping,BTM layout grand wedding biryani,Other,10:00:00,Metro ,90,Auto Rickshaw ,15,2.5 km to 3 km ,5,Auto Rickshaw ,10,2 km to 2.5 km ,4,For neither access nor egress trips ,,,No ,180,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,4,8,1,1,7,11,1,0,5,5
5,Nagasandra (green line),Chickpet (green line),"Gangondanahalli, near nice road",Home,Chikpete,Shopping,10:15:00,Metro ,30,Two-Wheeler ,5,1 km to 1.5 km ,5,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,No ,40,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"1,00,001 – 2,00,000",1.0,4,3,0,0,10,-1,1,4,1,1,4,3,3,1,3,1
6,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Rajajinagar (green line),"Modi hospital, rajajinagar ",Work,"Kamashipalya , near kamashipalya bus stop",Home,10:20:00,Bus1 + Metro + Bus2 ,45,Walk ,5,0.5 to 1 km ,7,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,4,10,Ordinary Monthly Pass ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Trade,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,1,4,1,3,3,3,1,1,1
7,Mahalakshmi (green line),Mahatma Gandhi Road (purple line),"Mg road,chruch street ,ameoba",Shopping,"Mahalaxmi,nandini layout ",Home,10:30:00,Metro ,30,Dropped-off by friends/others ,10,2 km to 2.5 km ,5,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,0,10,-1,4,1,1,1,11,1,1,0,8,1
8,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Indiranagar (purple line),Indiranagar Cafe Coffee day,Work,"Majestic metro came from, tumkur",Home,10:50:00,Metro ,25,Walk ,10,0.5 to 1 km ,5,Dropped-off by friends/others ,10,2 km to 2.5 km ,5,For egress trip only ,,,No ,25,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",2.0,3,0,0,0,10,-1,2,1,1,2,3,11,4,0,1,8
9,Jalahalli (green line),Jayanagar (green line),"Jayanagar,4th block, Starbucks ",Work,"Peenya 2nd stage,anupama school ",Home,10:45:00,Bus + Metro ,75,Auto Rickshaw ,5,0.5 to 1 km ,1,Walk ,10,< 0.5 km ,,For access trip only ,5,6,Ordinary Monthly Pass ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,2,1,2,1,3,1,2,1,5,1
10,Dasarahalli (green line),Trinity (purple line),Trinity commercial street,School,Dasrahalli saptagri hospital ,Other,10:00:00,Bus + Metro ,75,Walk ,5,< 0.5 km ,5,Auto Rickshaw ,15,1 km to 1.5 km ,5,For both access and egress trips ,2,5,Metro card ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,3,8,2,1,1,4,3,0,1,5
11,Peenya (green line),Cubbon Park (purple line),"Cubbon park, museum of art and photography ",Shopping,"Yeshwantpur,HMT road",Home,10:40:00,Metro ,50,Walk ,10,1 km to 1.5 km ,2,Walk ,3,1 km to 1.5 km ,,For both access and egress trips ,,,No ,35,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Student,>2 Lakhs,1.0,1,2,0,0,10,-1,4,1,1,2,4,4,3,0,1,1
12,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Dasarahalli (green line),"Dasarahalli,  500m near metro Dasarahalli ",Shopping,"Electronic city, near metro station Electronic city",Home,09:30:00,Bus + Metro ,100,Walk ,5,0.5 to 1 km ,10,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5,7,Metro card ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Student,"<=10,000",0.0,0,0,0,0,10,-1,4,1,2,1,3,3,1,1,1,1
13,Jalahalli (green line),Baiyappanahalli (purple line),"Nagawara, madhina hotel",Other,Peenya 2nd stage balaji nagar,Home,09:30:00,Metro+bus1+bus2,150,Auto Rickshaw ,30,> 5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,5,5,No ,200,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Metro ,Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,1,0,1,8,3,1,0,5,1
14,Jalahalli (green line),Sandal Soap Factory (green line),Orion mall,Shopping,Nagasandra,Home,10:00:00,Bus + Metro ,30,Walk ,15,1 km to 1.5 km ,2,Walk ,5,< 0.5 km ,,For both access and egress trips ,2,2,Metro card ,25,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,3.0,3,1,0,0,10,-1,4,1,2,1,4,1,3,1,1,1
15,Jayanagar (green line),Mahatma Gandhi Road (purple line),"Mg road, chruch st",Shopping,Jayanagar kr road ,Home,10:30:00,Metro ,25,Auto Rickshaw ,6,0.5 to 1 km ,0,Walk ,2,0.5 to 1 km ,,For access trip only ,,,Metro card ,29,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,0,10,-1,4,1,1,1,3,3,2,0,5,1
16,Konanakunte Cross (green line),Baiyappanahalli (purple line),Byappanahalli banaswadi anmaneya temple,Social,Konankunte prestige falcon city,Home,10:30:00,Metro ,50,Auto Rickshaw ,20,> 5 km ,5,Auto Rickshaw ,15,2.5 km to 3 km ,5,For neither access nor egress trips ,,,No ,160,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,> 60 yrs ,Doctorate,Unemployed,,1.0,0,0,0,0,10,-1,6,1,1,5,8,7,1,0,5,5
17,Nagasandra (green line),Chickpet (green line),"NT Pete, kodanda Rama swamy temple near",Work,"Madanayakanahalli, kudurigere colony ",Work,11:00:00,Metro ,30,Dropped-off by friends/others ,5,1.5 km to 2 km ,1,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,10th,Employed,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,2,2,1,2,2,1,3,1,8,1
18,Rashtreeya Vidyalaya Road (green line),Mahalakshmi (green line),Iskon temple rajajinagar,Social,Silk board bus stop,Shopping,10:30:00,Metro ,70,Two-Wheeler ,10,3.5 km to 4 km ,5,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,0,10,-1,6,4,1,1,9,3,3,1,3,1
19,Rajajinagar (green line),Rajarajeshwari Nagar (purple line),"Hemmigepura, RR nagar",Home,"Rajajinagar, akash tuition ",Friend,11:20:00,Metro ,50,Walk ,5,< 0.5 km ,5,Two-Wheeler ,15,4.5 km to 5 km ,,For both access and egress trips ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,"25,001 – 50,000",1.0,3,0,0,0,10,-1,1,7,1,1,1,6,3,0,1,3
20,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Baiyappanahalli (purple line),Bayappanahalli gunjur ,Friend,Yeshwantpur railway station ,Other,10:00:00,Bus1 + Metro + Bus2 ,120,Walk ,5,< 0.5 km ,5,Walk ,5,1 km to 1.5 km ,,For neither access nor egress trips ,10,5,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,7,8,4,1,1,4,1,0,1,1
21,Kengeri (purple line),Lalbagh (green line),Lalbagh park,Social,"Kumbalgodu,Don Bosco college ",Home,10:00:00,Bus + Metro ,120,Walk ,15,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5,10,No ,35,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"10,001 – 25,000",0.0,3,1,0,0,10,-1,6,1,2,2,3,3,1,0,1,1
22,Jnanabharathi (purple line),Lalbagh (green line),Lalbagh ,Other,"Nagadevanahalli ,gyanabarathi",Home,11:00:00,Metro ,60,Car ,10,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,40,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,,1.0,1,0,0,0,10,-1,8,1,1,3,4,1,3,1,4,1
23,Dasarahalli (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Central college ,Friend,Dasarahalli 560057,Home,11:00:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,20,Two-Wheeler ,10,1.5 km to 2 km ,,For both access and egress trips ,5,5,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,3,0,0,0,10,-1,7,1,2,1,3,2,3,0,1,3
24,Mahalakshmi (green line),Baiyappanahalli (purple line),"Ramurthinagar,gopalan arcade",Shopping,"Mahalaxmi,kurubruhalli",Home,08:30:00,Metro ,105,Ola/Uber car ,15,3.5 km to 4 km ,5,Ola/Uber car ,20,4.5 km to 5 km ,6,For access trip only ,,,No ,38,Very high crowding - All seats AND most standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,0,0,0,0,10,-1,4,1,1,1,9,6,2,0,6,6
25,Baiyappanahalli (purple line),Jayanagar (green line),Jayanagar 4th block ,Shopping,"Seegehalli, lake mount school",Home,10:10:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,5,0,No ,100,Very high crowding - All seats AND most standing space occupied ,Female,Not eligible ,Metro ,Metro ,26-35yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,4,1,2,2,3,3,1,0,1,1
26,Rashtreeya Vidyalaya Road (green line),Rajajinagar (green line),Rashtriya vidyalaya road ,Social,"Rajajinagar,line park",Home,11:15:00,Metro ,45,Walk ,2,< 0.5 km ,2,Dropped-off by friends/others ,15,1.5 km to 2 km ,2,For neither access nor egress trips ,,,No ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,46-60 yrs ,10th,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,6,1,1,4,1,2,1,1,1,8
27,Vijayanagar (purple line),Konanakunte Cross (green line),"Vijaynagar 10 th cross , vijaynagar police station ",Home,"Bannerghatta,near green way restaurant ",Friend,11:00:00,Metro ,45,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Employed,"1,00,001 – 2,00,000",0.0,2,0,0,0,10,-1,1,7,1,1,3,3,3,1,1,1
28,National College (green line),Jayaprakash Nagar (green line),"Yelahanka,purva venezia",Friend,"V v puram,subramanya temple",Home,11:40:00,Metro ,50,Walk ,1,< 0.5 km ,2,Dropped-off by friends/others ,40,> 5 km ,0,For neither access nor egress trips ,,,No ,21,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",0.0,2,1,0,0,10,-1,7,1,1,1,1,8,1,1,1,8
29,Kengeri (purple line),Baiyappanahalli (purple line),Byappanahalli Whitefield nexus mall,Other,Kengeri christ college,Home,10:30:00,Bus + Metro ,120,Walk ,5,0.5 to 1 km ,20,Auto Rickshaw ,20,4 km to 4.5 km ,5,For both access and egress trips ,5,5,Metro card ,400,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,8,1,2,1,3,10,3,0,1,5
30,Rajajinagar (green line),Konanakunte Cross (green line),"Vidyaranpura, 1st block, BEL near",Work,"Konankunte cross, manasa theatre near",Other,10:30:00,Bus + Metro ,120,Walk ,2,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,2,5,Ordinary Day Pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,8,2,1,1,1,1,1,1,1
31,Banashankari (green line),Doddakallasandra (green line),Doddakalasandra kuvempu nagar,Home,"JP nagar,2nd phase,central mall",Home,11:30:00,Bus + Metro ,30,Walk ,10,< 0.5 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,2,2,No ,23,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,>2 Lakhs,0.0,2,0,0,0,10,-1,1,1,2,1,1,1,3,1,1,1
32,Sandal Soap Factory (green line),Indiranagar (purple line),"Indranagar,truffles",Restaurant,"Sandalsoap, Orion mall",Home,11:10:00,Metro ,60,Walk ,15,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,5,1,1,1,4,1,1,0,1,1
33,Vijayanagar (purple line),Baiyappanahalli (purple line),Byappanahalli tin factory ,Home,Vijaynagar karyasiddi temple,Social,11:30:00,Metro + Bus ,90,Auto Rickshaw ,20,3 km to 3.5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,3,15,Metro card ,200,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"50,001 – 1,00,000",2.0,1,0,0,0,10,-1,1,6,3,2,5,3,3,0,5,1
34,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Silk Institute (green line),Hotel swadeshi ,Work,Moti Mahal ,Work,11:32:00,Metro ,30,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,42,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,46-60 yrs ,Graduate,Business,,0.0,1,0,0,0,10,-1,2,2,1,4,3,3,1,1,1,1
35,Silk Institute (green line),Indiranagar (purple line),HAL sports club ,Other,"Shobha hill view, thalgatpura ",Home,12:10:00,Metro ,80,Bicycle ,8,1 km to 1.5 km ,5,Auto Rickshaw ,10,2.5 km to 3 km ,5,For access trip only ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,1.0,1,1,0,0,10,-1,8,1,1,1,4,7,2,1,2,5
36,Silk Institute (green line),Rajarajeshwari Nagar (purple line),Rajarajeshwari Temple ,Social,"Somanahalli,near government school",Home,11:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For both access and egress trips ,5,3,Mobility card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Metro ,Metro ,18-25yrs ,Postgraduate,Unemployed,,0.0,1,1,0,0,10,-1,6,1,2,1,3,1,3,0,1,1
37,Baiyappanahalli (purple line),Mantri Square Sampige Road (green line),Mantri square malleswaram 18th,Shopping,Marathalli kalamandir,Home,11:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Walk ,25,1.5 km to 2 km ,,For both access and egress trips ,10,5,Metro card ,0,No crowding  - Most ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,4,1,2,2,1,2,3,0,1,1
38,Pattandur Agrahara (purple line),Mahalakshmi (green line),Iskon temple,Social,"Ecc road,kadugudi",Home,11:30:00,Metro1 + Bus + Metro2 ,60,Auto Rickshaw ,5,2 km to 2.5 km ,2,Walk ,2,< 0.5 km ,,For access trip only ,2,2,No ,125,No crowding  - 25-50% of seats occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,0,0,0,0,10,-1,6,1,5,1,11,1,2,0,5,1
39,Thalaghattapura (green line),Mantri Square Sampige Road (green line),Mantri mall,Work,"Talagattapura,IKEA showroom ",Home,12:00:00,Metro ,35,Walk ,2,< 0.5 km ,10,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,2,1,1,2,1,1,1,1,1,1
40,Vajarahalli (green line),Konanakunte Cross (green line),Foram mall,Shopping,"Mallasandhra, holiday village road",Home,12:10:00,Metro ,10,Two-Wheeler ,10,1.5 km to 2 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,0,10,-1,4,1,1,1,2,3,3,0,3,1
41,Thalaghattapura (green line),South End Circle (green line),Ashoka pillar ,Other,"Vajarahalli, metro pillar no 251",Home,12:05:00,Metro ,40,Walk ,5,< 0.5 km ,4,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,36-45 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,8,1,1,3,1,3,3,1,1,1
42,Thalaghattapura (green line),Chickpet (green line),Thalaghattapura near police station ,Home,"Chicpete, sunday bazar",Shopping,12:10:00,Metro ,25,Walk ,10,0.5 to 1 km ,0,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,1.0,2,0,0,0,10,-1,1,4,1,2,3,1,1,0,1,1
43,Konanakunte Cross (green line),Mahatma Gandhi Road (purple line),"Brigade road ,Asics store",Work,"Doddakalasandra,hemavathi kalyana mantapa",Home,12:15:00,Metro ,60,Two-Wheeler ,5,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,10th,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,2,1,1,2,1,3,3,1,3,1
44,Halasuru (purple line),Jayanagar (green line),Jayanagar Carmel convent ,Home,Indiranagar revive hospital ,Other,00:00:00,Metro + Bus ,60,Walk ,5,< 0.5 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,10,5,No ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,10th,Daily,,0.0,0,0,0,0,10,-1,1,8,3,1,1,3,1,0,1,1
45,Indiranagar (purple line),Lalbagh (green line),Lalbagh ,Other,"Tipsandra,ganapthi temple",Other,11:45:00,Bus + Metro ,90,Walk ,20,2 km to 2.5 km ,15,Walk ,5,< 0.5 km ,,For access trip only ,1,8,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,8,2,1,11,1,2,0,1,1
46,Jayaprakash Nagar (green line),Krishna Rajendra Market (green line),"KR Market, poorvika showroom ",Work,"JP nagar, ramakrishna nagar, near pillar no 71",Home,12:20:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,>2 Lakhs,0.0,0,0,0,0,10,-1,2,1,1,1,1,1,3,0,1,1
47,Jayaprakash Nagar (green line),Attiguppe (purple line),Attigeppe metro station near,Shopping,"6th phase , behind rayol school, jp nagar ",Home,11:45:00,Metro ,60,Auto Rickshaw ,30,2 km to 2.5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,> 60 yrs ,Graduate,Unemployed,"1,00,001 – 2,00,000",1.0,1,0,0,0,10,-1,4,1,1,5,11,3,1,1,5,1
48,Baiyappanahalli (purple line),Vijayanagar (purple line),Vijaynagar police station ,Work,Kr puram police quarters ,Home,12:00:00,Bus + Metro ,40,Walk ,5,0.5 to 1 km ,2,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,1,5,Metro card ,0,No crowding - Less than 25% of seats occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,2,1,2,2,3,1,1,0,1,1
49,Jayaprakash Nagar (green line),Nagasandra (green line),IKEA shopping mall nagasandra ,Shopping,Nihmans hospital ,Work,11:45:00,Metro ,60,Auto Rickshaw ,10,2.5 km to 3 km ,2,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,> 60 yrs ,Graduate,Unemployed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,4,2,1,5,7,3,3,1,5,1
50,Indiranagar (purple line),Dasarahalli (green line),"Chikkabanavara, railway station ",Home,Indiranagar max showroom ,Shopping,11:30:00,Metro + Bus ,60,Walk ,5,< 0.5 km ,5,Walk ,15,1.5 km to 2 km ,,For neither access nor egress trips ,2,10,Metro card ,15,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,4,3,1,1,2,1,1,1,1
51,Jayaprakash Nagar (green line),Nagasandra (green line),"Ikea, nagasandra ",Shopping,"Dollars colony,  4th phase JP nagar",Home,12:30:00,Metro ,60,Auto Rickshaw ,15,2.5 km to 3 km ,4,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,57,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Employed,,0.0,0,1,0,0,10,-1,4,1,1,2,7,1,1,0,5,1
52,Attiguppe (purple line),Konanakunte Cross (green line),"Konankunte,forum mall",Shopping,"Attigupe,nagabhavi circle",Home,12:15:00,Metro ,30,Two-Wheeler ,5,1 km to 1.5 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Postgraduate,Unemployed,,2.0,3,1,0,0,10,-1,4,1,1,2,4,1,1,0,3,1
53,"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)","Sir.M.Visvesvaraya Stn., Central College (purple line)",Central college kr circle ,Other,Vasavi college balagangadhara,Other,12:40:00,Metro ,15,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Trade,Student,,0.0,0,0,0,0,10,-1,8,8,1,1,3,3,1,1,1,1
54,Rashtreeya Vidyalaya Road (green line),Yeshwanthpur (green line),"Tumkur, Saraswathi purum",Home,"Time institute, jaynagar branch ",School,12:10:00,Metro ,180,Walk ,20,2 km to 2.5 km ,5,They will travel by normal train in yeshwantpur ,120,> 5 km ,0,For access trip only ,,,Other type of pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Student,>2 Lakhs,1.0,2,0,0,0,10,-1,1,3,1,2,11,8,2,1,1,11
55,Srirampura (green line),Nagasandra (green line),"Ramaiah layout, 1st cross , near nagasandra metro station ",Home,"R T nagar, shanthisagar hotel near ",Friend,12:05:00,Metro ,60,Auto Rickshaw ,30,2.5 km to 3 km ,2,Two-Wheeler ,5,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Metro ,36-45 yrs ,12th,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,7,1,3,7,3,2,1,5,3
