,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
0,Krishna Rajendra Market (green line),South End Circle (green line),Vijaya college ,School,Vinayaka theater,Home,08:35:00,Bus + Metro ,45,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,5,3,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,2,1,3,3,3,0,1,1
1,Krishna Rajendra Market (green line),National College (green line),National College ,School,"Mysore circle,kr market ",Home,08:45:00,Metro ,25,Walk ,15,1 km to 1.5 km ,3,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,1,1,4,1,2,0,1,1
2,Kengeri (purple line),Halasuru (purple line),"Khatib alami construction company,  Magrath road",Work,BDA appartment jnanabarathi,Home,08:00:00,Metro ,55,Walk ,10,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,1,1,1,1,1,1,1,1,1
3,Vijayanagar (purple line),Baiyappanahalli (purple line),Whitefield ,Work,Vijaynagar near metro station ,Home,08:00:00,Metro ,90,Two-Wheeler ,2,< 0.5 km ,5,Auto Rickshaw ,45,> 5 km ,15,For egress trip only ,,,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,2,1,8,4,1,3,5
4,Jayanagar (green line),Indiranagar (purple line),Hal,Work,"Jayanagar,3rd block, national school ",Home,08:15:00,Metro ,90,Walk ,10,1 km to 1.5 km ,3,Ola/Uber car ,10,2.5 km to 3 km ,4,For both access and egress trips ,,,No ,80,Very high crowding - All seats AND most standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,"25,001 – 50,000",0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,2,1,1,1,4,7,3,1,1,6
5,National College (green line),Jayanagar (green line),Jaynagar 3rd block,School,"
Hanuman nagar,National college ",Home,08:45:00,Metro ,27,Dropped-off by friends/others ,10,1 km to 1.5 km ,4,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,3,1,1,1,4,1,2,0,8,1
6,National College (green line),Konanakunte Cross (green line),Forum mall,Work,Srinagar hanuman temple,Home,08:30:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,6,5,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Two-Wheeler - from origin to destiantion ,Two-Wheeler - from origin to destiantion ,18-25 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,2,1,1,1,1,0,1,1
7,Dasarahalli (green line),Baiyappanahalli (purple line),"Nallurhalli, Whitefield ",Work,"Dasarahalli, near Kamala clinic ",Friend,06:44:00,Metro1 + Bus + Metro2 ,120,Walk ,20,1 km to 1.5 km ,2,Walk ,5,< 0.5 km ,,For both access and egress trips ,10,15,Metro card ,10,High crowding - All seats AND 50-75% of standing space occupied ,Male,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,1,0,"No, I will not use a bicycle. .",5,3,2,7,5,1,4,1,3,1,1,1
8,Mahalakshmi (green line),National College (green line),"Anajaneya temple , mahalaxmi ",Home,"Chamrajpet,Shankar mutt",Work,08:45:00,Bus + Metro ,27,Walk ,10,0.5 to 1 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,3,5,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,0,0,0,"No, I will not use a bicycle. .",5,3,1,2,2,1,3,3,3,0,1,1
9,National College (green line),Konanakunte Cross (green line),Konankunte police station ,Work,Chamrajpete azad nagar,Home,09:10:00,Metro + Bus ,50,Auto Rickshaw ,10,2.5 km to 3 km ,5,Walk ,10,0.5 to 1 km ,,For access trip only ,5,5,Metro card ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Eligible but do not use ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,1,3,2,7,3,2,0,5,1
